https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume ADA,Volume BUSD,tradecount
1696204800000,2023-10-02,ADABUSD,0.2659,0.2694,0.2575,0.259,5919878.0,1560540.67565,7176
1696118400000,2023-10-01,ADABUSD,0.254,0.2677,0.2538,0.2658,5446998.3,1420165.63209,5750
1696032000000,2023-09-30,ADABUSD,0.2494,0.2547,0.249,0.2539,3477896.6,874404.23242,3756
1695945600000,2023-09-29,ADABUSD,0.249,0.2558,0.2475,0.2494,6376458.8,1603731.12097,5401
1695859200000,2023-09-28,ADABUSD,0.2445,0.2504,0.2432,0.2489,6437363.3,1594245.25542,5066
1695772800000,2023-09-27,ADABUSD,0.2453,0.2481,0.2426,0.2443,5169972.3,1267490.05369,3701
1695686400000,2023-09-26,ADABUSD,0.2459,0.2477,0.2431,0.2453,3758972.3,922172.52692,3499
1695600000000,2023-09-25,ADABUSD,0.2427,0.2461,0.2405,0.2459,5560191.0,1358614.61654,4679
1695513600000,2023-09-24,ADABUSD,0.246,0.2463,0.2418,0.2429,5005025.2,1223928.85565,3007
1695427200000,2023-09-23,ADABUSD,0.245,0.2468,0.2437,0.2461,3732407.0,916094.74936,3436
1695340800000,2023-09-22,ADABUSD,0.2449,0.2464,0.2428,0.2449,7109107.4,1739053.09054,5595
1695254400000,2023-09-21,ADABUSD,0.2517,0.253,0.2449,0.245,7739037.9,1925005.23002,6780
1695168000000,2023-09-20,ADABUSD,0.2549,0.2565,0.2502,0.2516,8607405.1,2181501.28392,7842
1695081600000,2023-09-19,ADABUSD,0.2515,0.2579,0.2508,0.2548,6954696.4,1774555.54253,6099
1694995200000,2023-09-18,ADABUSD,0.2472,0.2559,0.2442,0.2516,7528964.6,1893655.50834,7913
1694908800000,2023-09-17,ADABUSD,0.2503,0.2513,0.2445,0.2473,5128238.0,1272740.26655,5470
1694822400000,2023-09-16,ADABUSD,0.2507,0.2538,0.2484,0.2503,7460979.0,1873551.98516,5372
1694736000000,2023-09-15,ADABUSD,0.2514,0.255,0.2452,0.2506,10344992.9,2588862.2908,6748
1694649600000,2023-09-14,ADABUSD,0.2487,0.2527,0.2465,0.2513,8174335.1,2038097.84121,5814
1694563200000,2023-09-13,ADABUSD,0.2454,0.2498,0.2436,0.2487,7912565.4,1956227.57199,5832
1694476800000,2023-09-12,ADABUSD,0.242,0.2526,0.2408,0.2454,10326925.7,2555794.47326,8050
1694390400000,2023-09-11,ADABUSD,0.249,0.2495,0.2368,0.242,10106187.9,2457966.31167,9747
1694304000000,2023-09-10,ADABUSD,0.2533,0.2533,0.2419,0.2491,9422002.0,2340311.00725,8925
1694217600000,2023-09-09,ADABUSD,0.2543,0.2557,0.2531,0.2533,2174523.4,553447.36146,2444
1694131200000,2023-09-08,ADABUSD,0.2578,0.2595,0.2526,0.2543,5759631.0,1471952.00044,6082
