https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume ACM,Volume BUSD,tradecount
1668211200000,2022-11-12,ACMBUSD,2.529,2.579,2.284,2.375,60548.3,145004.7194,1664
1668124800000,2022-11-11,ACMBUSD,2.607,2.693,2.336,2.529,88912.6,221437.7394,2417
1668038400000,2022-11-10,ACMBUSD,2.22,2.705,2.181,2.614,140866.6,351001.3962,3687
1667952000000,2022-11-09,ACMBUSD,2.85,2.861,2.115,2.22,120810.6,302858.2061,3088
1667865600000,2022-11-08,ACMBUSD,3.299,3.346,2.473,2.864,296136.4,873514.2304,6385
1667779200000,2022-11-07,ACMBUSD,3.342,3.482,3.174,3.313,75198.6,249866.4585,2078
1667692800000,2022-11-06,ACMBUSD,3.381,3.568,3.313,3.314,157698.0,542814.9545,3489
1667606400000,2022-11-05,ACMBUSD,3.3,3.53,3.23,3.383,211594.9,721745.566,5150
1667520000000,2022-11-04,ACMBUSD,3.193,3.332,3.163,3.3,73014.2,237967.8211,1458
1667433600000,2022-11-03,ACMBUSD,3.21,3.293,3.145,3.192,52700.2,169739.4522,1407
1667347200000,2022-11-02,ACMBUSD,3.274,3.3,3.114,3.202,48701.9,155647.6127,1611
1667260800000,2022-11-01,ACMBUSD,3.305,3.427,3.214,3.281,51945.8,172190.5309,1319
1667174400000,2022-10-31,ACMBUSD,3.317,3.391,3.158,3.305,95687.2,315130.8549,2831
1667088000000,2022-10-30,ACMBUSD,3.194,3.517,3.1,3.314,180383.1,605001.8086,4725
1667001600000,2022-10-29,ACMBUSD,3.213,3.264,3.162,3.19,31367.2,100831.2138,789
1666915200000,2022-10-28,ACMBUSD,3.171,3.238,3.058,3.213,30702.8,96650.2453,1026
1666828800000,2022-10-27,ACMBUSD,3.272,3.363,3.171,3.171,32493.4,106306.3509,1320
1666742400000,2022-10-26,ACMBUSD,3.168,3.376,3.159,3.273,95668.2,315501.7001,2862
